id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
8521,https://www.airbnb.com/rooms/8521,20250928035003,2025-09-28,city scrape,SunsplashedSerenity walk to Harvard & Fresh Pond,"An elegant, sun-splashed, 2 bedroom (+2offices) apartment with parking, a 20-minute walk or 7-minute bike ride to Harvard.  Enjoy this spacious 1st floor unit in a stylish 3-level house, with its gorgeous yard and two bluestone patios, on a quiet leafy street in Huron Village Cambridge.  Sleeps 5.","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes all within walking distance of Harvard Square.  You'll also find scrumptious take-out in several local places. (URL HIDDEN)<br />(URL HIDDEN)",https://a0.muscache.com/pictures/30536/072e0a55_original.jpg,306681,https://www.airbnb.com/users/show/306681,Janet,2010-12-01,"Cambridge, MA","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within a few hours,100%,65%,t,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_x_medium,Cambridge,2,3,"['email', 'phone']",t,t,Neighborhood highlights,West Cambridge,,42.38258,-71.13646,Entire rental unit,Entire home/apt,5,1.0,1 bath,2,2,"[""Single level home"", ""High chair"", ""TV with standard cable"", ""Air conditioning"", ""Paid parking on premises"", ""Host greets you"", ""Dryer"", ""Hangers"", ""Heating"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Essentials"", ""Wifi"", ""BBQ grill"", ""Oven"", ""Shared patio or balcony"", ""Beach essentials"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Babysitter recommendations"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Iron"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Outlet covers"", ""Kitchen"", ""Children\u2019s books and toys"", ""Free street parking"", ""Barbecue utensils"", ""Dishwasher"", ""Stove"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Not fully fenced"", ""Shower gel"", ""Washer"", ""Private entrance"", ""Bathtub""]",$270.00,2,1125,2,4,1125,1125,2.3,1125.0,,t,0,0,0,94,2025-09-28,80,4,0,0,11,24,6480,2009-07-23,2025-08-24,4.84,4.95,4.97,4.9,4.92,4.94,4.74,C0121120491,f,2,2,0,0,0.41
11169,https://www.airbnb.com/rooms/11169,20250928035003,2025-09-28,city scrape,Lovely Studio Room: Available for long w/ends,"Large sunny room w kitchenette & bath. Foam mat can be added for 3rd person. Must love rescue dogs; Callie is a gem; likes pets when you come and go. Quality queen mattress, fridge, microwave, good wifi, en-suite marble bath. Quiet, leafy Cambridge neighborhood, moments from city life. Walk, bike or bus to Harvard, Tufts, MIT, Lesley . **Must like kids, adorable ones live above & you will hear their footsteps at times. Covid Vaccination. No lock on room or use of other rooms.","The neighborhood is quiet and friendly and our street is tree-lined, and known as one of the nicest blocks in what is a great neighborhood. It's far enough away from the main street so you won't hear any noise, yet within moments you can be at the subway or in Davis or Porter Squares. there's a sweet playground nearby, a bike trail extending 19 miles, and many parks. A Whole Foods and Trader Joe's are both within a 15 minute walk.",https://a0.muscache.com/pictures/miso/Hosting-11169/original/0dc97418-a009-4e38-b8e3-f261a9773561.jpeg,40965,https://www.airbnb.com/users/show/40965,Judith L,2009-09-24,"Cambridge, MA","Friendly, politically progressive, resourceful... I love hosting people from all over the world, and know the area well for a native NY'er. You will find the environment 'on the court' restful, peaceful and as one  guest from put it, ""I  figured you were a healer of some sort-- because your home feels healing."" Our place is relaxing and down to earth, with  an artistic and colorful ambiance, and lots of sunlight.",within a day,100%,77%,t,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_x_medium,Cambridge,4,4,"['email', 'phone']",t,t,Neighborhood highlights,North Cambridge,,42.3963,-71.13135,Private room in condo,Private room,3,1.0,1 private bath,1,0,"[""Coffee"", ""Host greets you"", ""Hangers"", ""Bathtub"", ""Extra pillows and blankets"", ""Essentials"", ""Wifi"", ""Dining table"", ""Hot water kettle"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Portable fans"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Paid parking garage off premises"", ""Hair dryer"", ""Refrigerator"", ""Dedicated workspace"", ""EV charger"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Shower gel"", ""Central air conditioning"", ""Heating""]",$126.00,3,14,3,3,14,14,3.0,14.0,,t,3,17,47,311,2025-09-28,190,8,0,52,9,48,6048,2010-03-30,2025-07-18,4.8,4.75,4.78,4.91,4.92,4.8,4.77,,f,3,1,2,0,1.01
19581,https://www.airbnb.com/rooms/19581,20250928035003,2025-09-28,city scrape,"Furnished suite, Windsor","Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are subject to 14.45% tax, collected on arrival",,https://a0.muscache.com/pictures/188f1b4b-f37b-473c-b28c-3962050e6fdc.jpg,74249,https://www.airbnb.com/users/show/74249,Marc E,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone']",t,t,,The Port,,42.36258,-71.09603,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1,1,"[""TV with standard cable"", ""Paid parking on premises"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Essentials"", ""Window AC unit"", ""Fire extinguisher"", ""Wifi"", ""Mini fridge"", ""Dining table"", ""Shared patio or balcony"", ""Hot water kettle"", ""Building staff"", ""General electric oven"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Toaster"", ""Clothing storage"", ""Dishwasher"", ""Stove"", ""Freezer"", ""Smoke alarm"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Washer"", ""Heating""]",$183.00,10,730,5,30,1125,1125,11.8,1125.0,,t,0,0,19,294,2025-09-28,12,1,1,24,1,20,3660,2011-08-18,2025-08-30,4.55,4.64,4.64,4.64,4.91,4.91,4.27,,t,3,0,3,0,0.07
27498,https://www.airbnb.com/rooms/27498,20250928035003,2025-09-28,city scrape,Furnished suite 2 @ the Windsor,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are taxed at 14.45 %, collected on arrival",,https://a0.muscache.com/pictures/bab30c3c-ff3c-4a1c-bbeb-72c3928d2008.jpg,74249,https://www.airbnb.com/users/show/74249,Marc E,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone']",t,t,,The Port,,42.36254,-71.09698,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1,1,"[""Paid parking lot on premises \u2013 3 spaces"", ""40 inch TV with standard cable"", ""Outdoor dining area"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Essentials"", ""Window AC unit"", ""Fire extinguisher"", ""Wifi"", ""Mini fridge"", ""Oven"", ""Dining table"", ""Hot water kettle"", ""Shared patio or balcony"", ""Clothing storage: closet and dresser"", ""Building staff"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Rice maker"", ""Kitchen"", ""Self check-in"", ""Toaster"", ""Hammock"", ""Dishwasher"", ""Central heating"", ""Freezer"", ""Stove"", ""Paid dryer \u2013 In building"", ""Lock on bedroom door"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Backyard""]",$238.00,5,730,5,10,1125,1125,8.8,1125.0,,t,10,36,66,341,2025-09-28,27,1,0,71,3,10,2380,2010-07-22,2025-03-22,4.77,4.68,4.76,4.64,4.76,4.88,4.64,,t,3,0,3,0,0.15
79762,https://www.airbnb.com/rooms/79762,20250928035003,2025-09-28,city scrape,Cambridge Getaway @ Harvard & MIT,Charming 2-bedroom apartment on the third floor of our beautiful Victorian home.,Annmarie and I have lived in this area for over 50 years. We both live on the first floor of this house and know where people want to go. We can suggest the best restaurants and attractions in the neighborhood.,https://a0.muscache.com/pictures/airflow/Hosting-79762/original/8d2b1a15-1ad5-4d49-94f4-6b40fcb75d9a.jpg,430015,https://www.airbnb.com/users/show/430015,Kevin,2011-03-08,"Cambridge, MA","Annmarie and I were both born here in Cambridge. We have lived in the same location our entire lives. It is a wonderful area for visiting the city..We started with Airbnb for 4 years now and it has been a wonderfull experience. Many people have stayed here from all over the world.. Marathons, Graduations, Reunions and Family get togethers. We are surrounded by Great restaurant's and cafe's.. We are 5 minutes to bus lines and the Redline. You can walk to Harvard or MIT in 10-15 minutes Walkability has a 95% rating. We also have free parking.",within a few hours,100%,89%,t,https://a0.muscache.com/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_x_medium,Cambridge,1,2,"['email', 'phone']",t,t,Neighborhood highlights,The Port,,42.3695,-71.09921,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Pets allowed"", ""High chair"", ""TV with standard cable"", ""Air conditioning"", ""Hangers"", ""Bathtub"", ""Patio or balcony"", ""Essentials"", ""Wifi"", ""Fire extinguisher"", ""Oven"", ""Building staff"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Refrigerator"", ""Kitchen"", ""Self check-in"", ""Free street parking"", ""Stove"", ""Smoke alarm"", ""Free parking on premises"", ""Heating""]",$300.00,3,365,3,3,365,365,3.0,365.0,,t,4,8,36,301,2025-09-28,455,28,2,41,26,168,50400,2011-05-05,2025-09-13,4.88,4.88,4.87,4.96,4.93,4.93,4.77,STR-15661,f,1,1,0,0,2.59
106474,https://www.airbnb.com/rooms/106474,20250928035003,2025-09-28,city scrape,large furnished suite in Central sq,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br /> Stays under 90 days are taxed at 14.45%, collected on arrival",,https://a0.muscache.com/pictures/f4794a48-e943-40c3-9262-20a38d687750.jpg,74249,https://www.airbnb.com/users/show/74249,Marc E,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone']",t,t,,The Port,,42.36274,-71.09768,Private room in bed and breakfast,Private room,3,1.0,1 private bath,1,1,"[""TV with standard cable"", ""Paid parking on premises"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Essentials"", ""Window AC unit"", ""Fire extinguisher"", ""Dining table"", ""Mini fridge"", ""Oven"", ""Shared patio or balcony"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Building staff"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Fast wifi \u2013 119 Mbps"", ""Toaster"", ""Private backyard \u2013 Fully fenced"", ""Dishwasher"", ""Stove"", ""Freezer"", ""Smoke alarm"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Washer"", ""Heating""]",$242.00,5,365,4,14,1125,1125,9.0,1125.0,,t,14,44,74,349,2025-09-28,23,0,0,79,2,0,0,2011-09-05,2024-06-09,4.83,5.0,4.87,4.91,5.0,4.87,4.57,ROT-10694669-006,t,3,0,3,0,0.13
108898,https://www.airbnb.com/rooms/108898,20250928035003,2025-09-28,city scrape,"""The Treehouse"" :   Elegant living near Harvard","An elegant, contemporary, top-floor unit in quiet, green, Huron Village Cambridge, with its boutiques, restaurants, galleries, gourmet grocery,  antique shop, & used bookstore. Walk to Harvard & Porter Sqs, the Charles River, & Fresh Pond.  Ride  the Minuteman Bike Path (a BlueBike station is 2 blocks away).  Enjoy the garden: 2 patios, a double hammock, lounge chairs, a croquet lawn & a bocce court (all with wi-fi). 5/15-8/31 short-term stays; 9/1 -5/15 long-term stays only (3 months or more).","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes.  And you'll find  scrumptious take-out, available in several local places.  We're within walking distance of Harvard Square and on 3 bus lines .  (URL HIDDEN)<br />(URL HIDDEN)",https://a0.muscache.com/pictures/4382175/5853951c_original.jpg,306681,https://www.airbnb.com/users/show/306681,Janet,2010-12-01,"Cambridge, MA","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within a few hours,100%,65%,t,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_x_medium,Cambridge,2,3,"['email', 'phone']",t,t,Neighborhood highlights,West Cambridge,,42.38227,-71.13643,Entire condo,Entire home/apt,3,1.0,1 bath,1,1,"[""Conditioner"", ""Cleaning available during stay"", ""Window guards"", ""Paid parking on premises"", ""Children\u2019s bikes"", ""Outdoor dining area"", ""Host greets you"", ""Hangers"", ""Outdoor furniture"", ""21 inch HDTV with Netflix, standard cable"", ""Bikes"", ""Books and reading material"", ""Extra pillows and blankets"", ""Essentials"", ""Laundromat nearby"", ""Window AC unit"", ""Wifi"", ""Dining table"", ""Mini fridge"", ""Shared patio or balcony"", ""Body soap"", ""Hot water kettle"", ""BBQ grill"", ""Free parking on premises \u2013 1 space"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Wine glasses"", ""Under-counter small fridge with freezer refrigerator"", ""Microwave"", ""Fire pit"", ""Cooking basics"", ""Portable fans"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Garden view"", ""Long term stays allowed"", ""Coffee maker: french press"", ""Dedicated workspace"", ""Kitchen"", ""Sound system"", ""Toaster"", ""Hammock"", ""Free dryer \u2013 In building"", ""Free street parking"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Microwave-Convection oven oven"", ""Barbecue utensils"", ""Dishwasher"", ""Shared backyard \u2013 Not fully fenced"", ""Central heating"", ""Freezer"", ""Exercise equipment: stationary bike"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Shower gel"", ""Thermador electric stove"", ""Private entrance"", ""Bathtub""]",$225.00,2,730,2,2,730,730,2.0,730.0,,t,0,0,7,17,2025-09-28,49,3,0,12,4,18,4050,2011-05-24,2025-06-08,4.73,4.77,4.94,4.77,4.88,4.96,4.79,CO121110491,f,2,2,0,0,0.28
231115,https://www.airbnb.com/rooms/231115,20250928035003,2025-09-28,previous scrape,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,"Standalone private artist's carriage house loft. Our live/work funky artist's carriage house is located on historic tree lined Bigelow Street smack in the middle of Harvard and MIT! Absolutely central to everything! Redline T is 2 short blocks away. Mass. ave bus and Hubway Bike spot is at the bottom of our street. Easy Ubers, Lyft and taxi's everywhere. And fabulous coffee shops, restaurants, Whole Foods market, pubs, bookstores, music, Harvard, MIT, and HBS within minutes!","Private standalone carriage house artists loft.  Walking distance to Harvard, MIT and HBS. Transportation including Redline T, bus and Hubway bikes steps away! Fantastic Parks, Restaurants, Pubs, Music, Whole Foods, Starbucks & Local Coffee Shops, Bookstores! Uber, Lyft, SAFR, and Taxis in abundance.",https://a0.muscache.com/pictures/2419060/a3e76d0f_original.jpg,81038,https://www.airbnb.com/users/show/81038,Louisa,2010-02-14,"Cambridge, MA","We are a household of writers, Illustrators, animators, filmmakers, musicians, technologists, immersive storytellers, visual narrative artists, professors and entrepreneurs…",within an hour,100%,95%,t,https://a0.muscache.com/im/pictures/user/b4519df7-0bb6-40a1-b9cc-d9c0b35669c8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b4519df7-0bb6-40a1-b9cc-d9c0b35669c8.jpg?aki_policy=profile_x_medium,Cambridge,10,13,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Mid-Cambridge,,42.36771,-71.1058,Entire home,Entire home/apt,4,,1 bath,1,,"[""Pets allowed"", ""TV with standard cable"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Extra pillows and blankets"", ""Essentials"", ""Wifi"", ""Fire extinguisher"", ""BBQ grill"", ""Oven"", ""Shared patio or balcony"", ""Paid parking off premises"", ""Keypad"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""EV charger"", ""Stove"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Backyard"", ""Private entrance"", ""Heating""]",,28,120,28,28,120,120,28.0,120.0,,t,0,0,0,0,2025-09-28,172,0,0,0,0,0,,2011-10-24,2019-11-10,4.88,4.92,4.98,4.97,4.95,4.98,4.75,C0194540491,f,9,9,0,0,1.01
445407,https://www.airbnb.com/rooms/445407,20250928035003,2025-09-28,previous scrape,East Cambridge Apartment,Our four bedroom home is tucked away in a wonderful neighborhood in East Cambridge.  Walk to great neighborhood restaurants and enjoy day trips to Boston with easy access to bus and train lines.  Enjoy the backyard and charm of Cambridge.,Neighborhood is tucked away behind MIT and Kendall Square.  East Cambridge still has a strong Portuguese population that is apparent with grape vines surrounding our yard.  Our oldest son goes to school down the street and we love the community and our neighborhood.  ,https://a0.muscache.com/pictures/airflow/Hosting-445407/original/f7820476-f669-497f-8e09-cb0874b44782.jpg,2212429,https://www.airbnb.com/users/show/2212429,Jimmy,2012-04-24,"Cambridge, MA","My wife and I are teachers north of Boston and have 4 children.  We enjoy traveling, being active, and spending time in Cape Cod and Lake Ontario.
  
As a family we enjoy seeing different places and experiencing different cultures.  We love the concept of Airbnb and as a young family, we love the idea of living somewhere else and having the flexibility/comforts of a kitchen and yard.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/2212429/profile_pic/1423275652/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2212429/profile_pic/1423275652/original.jpg?aki_policy=profile_x_medium,Cambridge,3,3,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Wellington-Harrington,,42.37147,-71.08939,Entire rental unit,Entire home/apt,7,,2 baths,4,,"[""TV with standard cable"", ""Air conditioning"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Essentials"", ""Wifi"", ""Fire extinguisher"", ""BBQ grill"", ""Body soap"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Smart lock"", ""Refrigerator"", ""Kitchen"", ""Self check-in"", ""Children\u2019s books and toys"", ""Clothing storage"", ""Room-darkening shades"", ""Smoke alarm"", ""Free parking on premises"", ""Backyard"", ""Washer"", ""Heating""]",,2,28,2,2,1125,1125,2.0,1125.0,,t,0,0,0,1,2025-09-28,91,11,0,0,5,66,,2012-06-29,2025-08-12,4.94,4.9,4.9,4.97,4.99,4.82,4.78,STR-17249,t,2,2,0,0,0.56
675441,https://www.airbnb.com/rooms/675441,20250928035003,2025-09-28,city scrape,Waterfront-1 Bed Room Luxury Condo,,,https://a0.muscache.com/pictures/miso/Hosting-675441/original/63339161-3fe0-463d-bebf-684d712518ac.jpeg,3423245,https://www.airbnb.com/users/show/3423245,Elaine,2012-08-30,"Cambridge, MA","I like travel, music, art and fitness.  ",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/3423245/profile_pic/1372101176/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3423245/profile_pic/1372101176/original.jpg?aki_policy=profile_x_medium,East Cambridge,2,5,"['email', 'phone']",t,t,,East Cambridge,,42.37103,-71.07557,Private room in rental unit,Private room,2,1.0,1 shared bath,1,1,"[""Wifi"", ""Gym"", ""Hot tub"", ""TV with standard cable"", ""Air conditioning"", ""Indoor fireplace"", ""Dryer"", ""Elevator"", ""Kitchen"", ""Free parking on premises"", ""Pool"", ""Essentials"", ""Washer"", ""Shampoo"", ""Heating""]",$188.00,91,365,91,91,365,365,91.0,365.0,,t,30,60,90,365,2025-09-28,12,0,0,95,0,0,0,2012-09-24,2013-10-25,4.64,4.83,4.42,4.75,5.0,4.75,4.5,,t,1,0,1,0,0.08
