,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,reviews_per_month,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,instant_bookable,availability_365,availability_30,availability_60,availability_90,minimum_minimum_nights,host_id,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,host_has_profile_pic,calculated_host_listings_count,hosts_time_as_host_years,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication,city,latitude,longitude,neighbourhood_cleansed,full_tract_fips,state_fips,county_fips,tract_fips,median_household_income,median_gross_rent,median_home_value,total_population,median_age,poverty_rate,pct_renter_occupied,pct_white,pct_black,pct_asian,pct_hispanic,pct_college_educated,unemployment_rate,listing_url,name,description,bathrooms,has_wifi,has_parking,has_pool,has_gym
85520,584.0,36.0,21024.0,4.96,0.76,entire_home,Entire home/apt,3.0,1.0,2.0,2,365.0,True,228.0,4.0,32.0,47.0,2.0,1838701.0,True,1.0,100%,100%,True,True,5.0,,101.0,4.97,4.97,4.89,4.99,hawaii_hawaii,20.90575,-156.22237,Paia-Haiku,15009030201.0,15.0,9.0,30201.0,81719.0,1903.0,929200.0,2991.0,49.6,0.1201211305518169,0.2996357012750455,0.5897693079237714,0.0023403543965229,0.0488131059846205,0.087930458040789,0.2251815980629539,0.0622377622377622,https://www.airbnb.com/rooms/363961,Priv Hot Tub + Shared Jungle Pool! - Ocean Lookout,"Relax and unwind in this stunning private home on Maui's dramatic North Shore, with wraparound lanais, panoramic whitewater ocean, cliff and Haleakala summit views. Star gaze as you soak in your own private hot tub with a chilled glass of wine and enjoy a once-in-a-lifetime experience. The 'real' Maui!<br /><br />☞ ★Jump Start to The to the Road to Hana! ✔<br />☞★New Cold AC ✔<br /><br />★Private Hot Tub ✔<br />★44 ft Swimming Pool  ✔<br />★Panoramic Ocean Views  ✔<br />★King Bed ✔<br />★Laundry ✔<br />★Cliff Walk ✔<br />★Star Gazing✔<br />★Full Kitchen✔",1.0,True,False,True,False
72540,88.0,12.0,1056.0,5.0,2.0,entire_home,Entire home/apt,4.0,1.0,1.0,1,365.0,True,6.0,6.0,6.0,6.0,1.0,140004064.0,True,1.0,100%,98%,True,True,1.0,,2.0,5.0,5.0,5.0,5.0,washington_DC,38.90254346563366,-76.98538922025324,"Ivy City, Arboretum, Trinidad, Carver Langston",11001008802.0,11.0,1.0,8802.0,78505.0,1436.0,686600.0,4605.0,35.5,0.2241531016278046,0.5239551478083588,0.2175895765472312,0.636699239956569,0.011943539630836,0.0831704668838219,0.4858559346748323,0.102536997885835,https://www.airbnb.com/rooms/1500868357446736673,1 BR English basement Near H St and NoA,"1BR Garden Apartment Near H St & NoMa<br /><br />Freshly Remodeled Rowhouse Apt.<br /><br />✅ Fully furnished & equipped<br /><br />✅ L-shape queen sleeper sofa (Room & Board), 55” smart TV<br /><br />✅Bedroom: Queen bed with headboard, dresser, nightstand, 34” smart TV<br /><br />✅Private front and back entrances<br /><br />✅ Plenty of street parking<br /><br />✅ Laundry in unit <br /><br />✅ Outdoor amenities – deck with couch, dining set, gas fire pit table & Weber gas grill<br /><br />📍Near BikeShare stations, bus lines, the streetcar. 15 minute walk to Metro",1.0,True,True,False,False
93089,767.9499999999825,0.0,0.0,4.0,0.06,entire_home,Entire home/apt,6.0,2.0,3.0,2,180.0,True,267.0,16.0,35.0,57.0,2.0,39073224.0,True,1.0,99%,98%,True,True,540.0,,3.0,3.67,4.67,4.67,4.67,hawaii_hawaii,20.945706,-156.690116,Lahaina,15009031503.0,15.0,9.0,31503.0,80859.0,2019.0,1551100.0,2802.0,45.7,0.1334760885082084,0.5459915611814345,0.4453961456102783,0.0082084225553176,0.1513204853675945,0.1723768736616702,0.2896678966789668,0.1221719457013574,https://www.airbnb.com/rooms/37913113,Maui Resort Rentals: Honua Kai Konea 320,This upgraded corner 2 bedroom suite offers numerous interior enhancements and gorgeous views of the verdant West Maui Mountains.,2.0,True,True,True,True
275640,102.0,162.0,16524.0,4.76,2.75,entire_home,Entire home/apt,10.0,3.0,5.0,2,180.0,False,353.0,20.0,48.0,78.0,2.0,8261233.0,True,1.0,100%,86%,True,True,3.0,,296.0,4.79,4.78,4.79,4.93,twincities_MN,44.94265,-93.24636,Hennepin,27053108600.0,27.0,53.0,108600.0,68963.0,1406.0,319900.0,3259.0,32.0,0.2798404418533292,0.5083955223880597,0.4989260509358699,0.0806996011046333,0.0070573795642835,0.3725069039582694,0.4212062256809338,0.132442960489705,https://www.airbnb.com/rooms/15173154,Urban Loft 3 bedroom  S Mpls,"Surround yourself with arts and culture, family-friendly activities, restaurants, and great views. Powderhorn Park and Lake Nokomis are close by. Centrally located near US Bank stadium (Superbowl), Target field, downtown Minneapolis, Minnehaha Falls, Mall of America and many other attractions.  Great for couples, solo adventurers,  people in transitional job business travelers, and families. The bus is only one blk away, and the light rail 4blocks.<br /><br />4 people minimum during May 30 thur Sept 30",1.0,True,True,False,False
276580,234.0,48.0,11232.0,4.8,2.02,entire_home,Entire home/apt,8.0,3.0,6.0,3,365.0,False,176.0,24.0,54.0,61.0,4.0,332600464.0,True,1.0,100%,97%,False,True,6.0,,136.0,4.82,4.97,4.74,4.92,twincities_MN,44.90395,-93.23907,Hennepin,27053011800.0,27.0,53.0,11800.0,121450.0,1563.0,373500.0,4513.0,38.4,0.0175049855971637,0.111920874544508,0.8561932195878573,0.0002215820961666,0.0292488366939951,0.0877465100819853,0.6235972095844707,0.040305767894371,https://www.airbnb.com/rooms/42288822,"Lake Nokomis Retreat ~ Cozy, Clean, Fenced, Games","Stay in a cozy, warm, and professionally cleaned home one block from Lake Nokomis! <br /><br />This 3BR 2.5BA home is newly remodeled, spacious, airy, modern, and perfect for your family or friends.  <br /><br />This home sleeps up to 8 featuring entertainment basement with Xbox, massage futon, game table, foosball, & Golden Tea arcade game! <br /><br />Easily to walk to Lake, restaurants, parks, groceries, coffee while enjoying one of the most beautiful lakes Minneapolis has to offer!",2.5,True,True,True,False
67462,53.0,255.0,13515.0,4.93,2.53,private_room,Private room,2.0,1.0,1.0,2,7.0,False,30.0,0.0,0.0,30.0,2.0,230569854.0,True,1.0,100%,88%,True,True,2.0,,208.0,4.89,4.42,4.89,4.96,washington_DC,38.89211,-76.95391,"River Terrace, Benning, Greenway, Dupont Park",11001009603.0,11.0,1.0,9603.0,52837.0,1160.0,353700.0,4219.0,38.8,0.3076558426167338,0.657748611812216,0.0,0.8795923204550842,0.0135103105001185,0.0293908509125385,0.22793867120954,0.205,https://www.airbnb.com/rooms/30824111,Affordable guest room w/ street parking,"🌈This is a guest room NE DC for the budget conscious traveler! <br /><br />We live in the home so you will see us around in the living room along with our pug and two cats.<br /><br />You have your own room with a desk, TV, and closet. The full bath is shared, although we usually shower at the gym so it is yours to use.<br /><br />The neighborhood is residential (not very commercialized) so it is ideal to Uber or have a car since there is free street parking. Metro stop is a 15min walk Minnesota Ave on the orange line.",1.5,True,True,False,False
24857,188.0,24.0,4512.0,4.65,0.59,hotel,Private room,2.0,1.0,1.0,1,365.0,True,296.0,23.0,52.0,75.0,1.0,402195527.0,True,1.0,91%,95%,True,True,8.0,,23.0,4.61,4.96,4.61,4.78,broward_FL,26.14944,-80.31991,Sunrise,12011060120.0,12.0,11.0,60120.0,105968.0,2415.0,464900.0,7668.0,42.3,0.0269953051643192,0.4557779212395094,0.2849504434011476,0.1761867501304121,0.0916797078768909,0.3917579551382368,0.5804358675761104,0.0458733581650656,https://www.airbnb.com/rooms/650616334195921911,"Shop, Eat, Stay! Restaurants and Shopping",Contemporary hotel on-site at the Sawgrass Mills Mall. Walking distance to Sawgrass Mills Mall & Amerant Bank Arena.,1.0,True,True,False,True
170373,,0.0,,5.0,0.02,entire_home,Entire home/apt,3.0,1.0,2.0,30,365.0,False,0.0,0.0,0.0,0.0,30.0,43219894.0,False,0.0,0,0,True,True,1.0,10.0,2.0,5.0,5.0,5.0,5.0,nyc_NY,40.78349,-73.97291,Upper West Side,36061016900.0,36.0,61.0,16900.0,175647.0,3295.0,862300.0,8202.0,39.7,0.0699987719513692,0.7658503089951935,0.8099244086808095,0.0441355766886125,0.0460863204096561,0.0865642526213118,0.8773485645573426,0.0212161394203447,https://www.airbnb.com/rooms/8653999,Charming Upper West Side Apartment,"*Thanksgiving BONUS!*  We live two blocks away from where they blow up the Macy’s Thanksgiving Day Parade floats!  Grab a coffee at Starbucks, see the floats, then stroll through Central Park for the picture-perfect NY fall experience :)<br /><br />Walkup, 1-bedroom prewar building with exposed brick, wood floors, high ceilings. Bedroom (with full size bed) and living area (with pull out couch). Cable, wifi, A/C units, privacy...perfect place to wind down after a long day exploring the city",1.0,True,False,False,False
250574,259.0,255.0,57626.100000000035,4.92,4.98,entire_home,Entire home/apt,7.0,3.0,3.0,2,365.0,False,338.0,13.0,33.0,63.0,1.0,56119168.0,False,2.0,100%,86%,True,True,1.0,,124.0,4.88,4.85,4.87,4.98,sandiego_CA,32.74273586294115,-117.1199261,North Hills,6073001500.0,6.0,73.0,1500.0,110380.0,2082.0,856500.0,3934.0,36.2,0.0415710277990308,0.7018696311268318,0.6331977630910015,0.0213523131672597,0.0307574987290289,0.2074224707676664,0.5833333333333334,0.0382678751258811,https://www.airbnb.com/rooms/933396322352297170,Modern Craftsman In North Park w/jacuzzi,"Come escape to this modern craftsman home located in trendy North Park, Immerse yourself in the local culture of this eclectic neighborhood, renowned for its exceptional breweries, inventive culinary scene, and one-of-a-kind shops. Explore nearby attractions with ease, as this retreat serves as your perfect base to uncover the wonders of San Diego. All local attractions can be found 5-15 min away from your luxury stay. Built in 2020 this 1,350 sq ft two story oasis offers indoor outdoor living.",3.0,True,False,False,False
217013,,0.0,,,,hotel,Private room,4.0,1.0,1.0,30,365.0,False,0.0,0.0,0.0,0.0,1.0,546666550.0,False,0.0,0,0,True,True,11.0,,0.0,,,,,neworleans_LA,29.952141,-90.073082,Central Business District,22071013400.0,22.0,71.0,13400.0,59180.0,1589.0,607800.0,3544.0,52.9,0.2756863855080668,0.7350863422291993,0.554176072234763,0.2528216704288939,0.09255079006772,0.0386568848758465,0.5933462532299741,0.0307304785894206,https://www.airbnb.com/rooms/1040978330782680602,Tdqq Needs copywriter review,"- 1920’s-era gem just 2 blocks from Canal Street and the lively French Quarter, reno’d to perfection, starring local artwork and the latest technology.<br />- Spa-like bathroom promises the city's most luxurious shower, which we cannot entirely vouch for, not having tried them all. But we’ll take their word for it. <br /><br />- Feast on Gulf Coast seafood, a raw bar, hand-tossed pizzas and more. Options abound from Henry's Gin Bar to poolside eats on the rooftop terrace.",1.0,True,False,True,True
